iso3,percentage_nr_land_cover,percentage_nr_marine_cover,nr_version,nr_report_url,
SDN,5.8,10,6,https://chm.cbd.int/database/record/2748B1C1-31BC-F7AF-54E0-FC64E251AA3D,
SEN,na,2.44,6,https://chm.cbd.int/database/record/58DAD993-C79B-6275-8330-99B6F44BA483,
SGP,4.7,na,5,https://www.cbd.int/doc/world/sg/sg-nr-05-en.pdf,
SGS,na,na,,na,
SHN,na,na,,na,
SJM,na,na,,na,
SLB,5,6,5,https://www.cbd.int/doc/world/sb/sb-nr-05-en.pdf,
SLE,4,na,5,https://www.cbd.int/doc/world/sl/sl-nr-05-en.pdf,
SLV,na,na,,na,
SOM,0.8,,5,https://www.cbd.int/doc/world/so/so-nr-05-en.pdf,
SPM,na,na,,na,
SRB,6,na,5,https://www.cbd.int/doc/world/rs/rs-nr-05-en.pdf,
SSD,13,0,5,https://www.cbd.int/doc/world/ss/ss-nr-05-en.pdf,
STP,30,na,5,https://www.cbd.int/doc/world/st/st-nr-05-fr.pdf,
SUR,na,na,,na,"No information in 5th national report, states 'data is not available as yet'"
SVK,23.3,0,5,https://www.cbd.int/doc/world/sk/sk-nr-05-en.pdf,
SVN,13,0.4,5,https://www.cbd.int/doc/world/si/si-nr-05-en.pdf,"Slovenia has yet not achieved the CBD target concerning the extent of marine protected areas. Protected areas, without Natura 2000 sites include 0.4% of the Slovenian sea.'  'In 2004, Slovenia established a network of Natura 2000 sites, which, following a slight increase in 2013, covers 37%65 of the country's territory.'"
SWE,14.5,10,6,https://chm.cbd.int/database/record/060FF276-745E-F718-DC53-A1A48915D17E,"At the end of 2017, approximately 14.5% of Sweden’s land and freshwater area had some form of formal protection (Statistics Sweden, 2018). In addition, around 2.7% of the land was voluntarily set aside from forestry by 2017. However, there is a continuing need for transparency as regards the location, extent and quality of voluntary set-asides in forestry.'"
SWZ,3.9,,5,https://www.cbd.int/doc/world/sz/sz-nr-05-en.pdf,
SXM,na,na,,na,
SYC,46.6,0.03,5,https://www.cbd.int/doc/world/sc/sc-nr-05-en.pdf,
SYR,na,na,,na,No 5th or 6th NR. From 4th NR - 'The total area of PAs in the country is 1114569/ha (6.1% of country’s total area)' This includes marine PAs
TCA,na,na,,na,
TCD,12.3,na,5,https://www.cbd.int/doc/world/td/td-nr-05-fr.pdf,
TGO,na,na,,https://chm.cbd.int/database/record/77EEB058-F6CE-9107-7EE8-1F96B95E6314,
THA,na,20,6,https://chm.cbd.int/database/record/46D5C83F-588E-181B-D5F7-80C3E0A7552E,
TJK,na,0,,na,
TKL,na,na,,na,
TKM,4,na,5,https://www.cbd.int/doc/world/tm/tm-nr-05-ru.pdf,
TLS,na,na,,na,
TON,na,na,,na,
TTO,32,0.1,5,https://chm.cbd.int/api/v2013/documents/C7EFE124-DEAA-B14C-3D98-D0B9E66D99DE/attachments/TT%20Fifth%20National%20Report%20to%20the%20CBD_FINAL.pdf,
TUN,17,10,6,https://chm.cbd.int/database/record/5DAF5DAA-D4D2-F800-CA8C-9462C5D56858,
TUR,na,na,5,https://www.cbd.int/doc/world/tr/tr-nr-05-en.pdf,
TUV,na,na,,No information in 5th national report,
TWN,na,na,,na,
TZA,54.6,6.5,6,https://chm.cbd.int/database/record/57914673-CF81-82CF-0808-C76D810BAB97,
UGA,18,0,5,https://www.cbd.int/doc/world/ug/ug-nr-05-en.pdf,
UKR,6.05,na,5,https://www.cbd.int/doc/world/ua/ua-nr-05-en.pdf,
UMI,na,na,,na,
URY,8.6,na,6,https://chm.cbd.int/database/record/50CCF748-F428-8010-744B-D5B1BD5F3A66,
USA,,,,na,
UZB,5,0,5,https://www.cbd.int/doc/world/uz/uz-nr-05-en.pdf,
VCT,na,8.5,5,https://www.cbd.int/doc/world/vc/vc-nr-05-en.pdf,
VEN,na,na,5,https://www.cbd.int/doc/world/ve/ve-nr-05-es.pdf,
VGB,na,na,na,na,
VIR,na,na,na,na,
VNM,7,na,5,https://www.cbd.int/doc/world/vn/vn-nr-05-en.pdf,
VUT,na,na,na,na,
WLF,na,na,na,na,
WSM,na,na,5,https://www.cbd.int/doc/world/ws/ws-nr-05-en.pdf,
YEM,na,na,5,https://www.cbd.int/doc/world/ye/ye-nr-05-en.pdf,
ZAF,12.96,10,6,https://chm.cbd.int/database/record/33303CBE-1BB9-9034-35F8-283CC0A1D63F,
ZMB,37.8,0,6,https://chm.cbd.int/database/record/AB99C119-FDF3-C589-9CBB-B0B2C39A58C8,
ZWE,28,0,5,https://www.cbd.int/doc/world/zw/zw-nr-05-en.pdf,
